sheet,cell,media_name,stack_bb,hero_pos,villain_pos,spot,suggested_filename,positions_found,spot_hints,near_up,near_left,near_corner
Main,Q73,image70.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q73.png,UTG;CO;BTN;SB;BB,,,,
Main,R73,image70.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R73.png,UTG;BTN;SB;BB,,,,
Main,Q74,image71.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q74.png,UTG;BTN;SB;BB,,,,
Main,R74,image71.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R74.png,UTG;SB;BB,,,,
Main,Q75,image72.png,40bb,SB,UTG,rfi,40bb_sb_vs_utg_Main_Q75.png,SB;UTG;BB,,,,
Main,R75,image72.png,40bb,SB,UTG,jam,40bb_sb_vs_utg_Main_R75.png,SB;BB;UTG,,,,
Main,Q76,image73.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_Q76.png,HJ;SB;UTG;BB,,,,
Main,R76,image73.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_R76.png,HJ;BB;UTG,,,,
Main,Q77,image74.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_Q77.png,CO;UTG;HJ,,,,
Main,R77,image74.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_R77.png,CO;UTG;HJ,,,,
Main,Q78,image75.png,40bb,BTN,UTG,rfi,40bb_btn_vs_utg_Main_Q78.png,BTN;UTG;HJ;CO,,,,
Main,R78,image75.png,40bb,BTN,UTG,rfi,40bb_btn_vs_utg_Main_R78.png,BTN;UTG;HJ;CO,,,,
Main,Q68,image76.png,40bb,SB,UTG,rfi,40bb_sb_vs_utg_Main_Q68.png,SB;UTG;HJ;CO;BTN,,,,
Main,R68,image76.png,40bb,SB,UTG,rfi,40bb_sb_vs_utg_Main_R68.png,SB;UTG;HJ;CO;BTN,,,,
Main,Q66,image77.png,40bb,BTN,UTG,jam,40bb_btn_vs_utg_Main_Q66.png,BTN;UTG;HJ;CO,,,,
Main,R66,image77.png,40bb,BTN,UTG,jam,40bb_btn_vs_utg_Main_R66.png,BTN;UTG;HJ;CO,,,,
Main,Q61,image78.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q61.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,R61,image78.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R61.png,UTG;BTN;SB;BB,,,,
Main,Q62,image79.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q62.png,UTG;CO;BTN;SB;BB,,,,
Main,R62,image79.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R62.png,UTG;SB;BB,,,,
Main,Q63,image80.png,40bb,BTN,UTG,rfi,40bb_btn_vs_utg_Main_Q63.png,BTN;UTG;SB;BB,,,,
Main,R63,image80.png,40bb,SB,UTG,rfi,40bb_sb_vs_utg_Main_R63.png,SB;BB;UTG,,,,
Main,Q64,image81.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_Q64.png,HJ;UTG;BB,,,,
Main,R64,image81.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_R64.png,HJ;BB;UTG,,,,
Main,Q65,image82.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_Q65.png,CO;UTG;HJ;BB,,,,
Main,R65,image82.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_R65.png,CO;BB;UTG;HJ,,,,
Main,N55,image83.png,30bb,BTN,UTG,rfi,30bb_btn_vs_utg_Main_N55.png,BTN;SB;BB;UTG;HJ;CO,,,,
Main,O55,image83.png,30bb,BTN,UTG,rfi,30bb_btn_vs_utg_Main_O55.png,BTN;SB;BB;UTG;HJ;CO,,,,
Main,Q50,image84.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q50.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,R50,image84.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R50.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,Q51,image85.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q51.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,R51,image85.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R51.png,UTG;CO;BTN;SB;BB,,,,
Main,Q52,image86.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_Q52.png,HJ;CO;UTG;BTN;SB;BB,,,,
Main,R52,image86.png,40bb,BTN,UTG,jam,40bb_btn_vs_utg_Main_R52.png,BTN;SB;BB;UTG,,,,
Main,Q53,image87.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_Q53.png,HJ;CO;UTG;SB;BB,,,,
Main,R53,image87.png,40bb,HJ,UTG,rfi,40bb_hj_vs_utg_Main_R53.png,HJ;SB;BB;UTG,,,,
Main,Q54,image88.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_Q54.png,CO;UTG;HJ;BB,,,,
Main,R54,image88.png,40bb,CO,UTG,rfi,40bb_co_vs_utg_Main_R54.png,CO;BB;UTG;HJ,,,,
Main,Q55,image89.png,40bb,BTN,UTG,rfi,40bb_btn_vs_utg_Main_Q55.png,BTN;UTG;HJ;CO,,,,
Main,R55,image89.png,40bb,BTN,UTG,rfi,40bb_btn_vs_utg_Main_R55.png,BTN;UTG;HJ;CO,,,,
Main,Q32,image90.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q32.png,UTG;CO;BTN;SB;BB,,,,
Main,R32,image90.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_R32.png,UTG;CO;BTN;SB;BB,,,,
Main,Q33,image91.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q33.png,UTG;BTN;SB;BB,,,,
Main,R33,image91.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_R33.png,UTG;BTN;SB;BB,,,,
Main,Q34,image92.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q34.png,UTG;SB;BB,,,,
Main,R34,image92.png,40bb,SB,UTG,rfi,40bb_sb_vs_utg_Main_R34.png,SB;BB;UTG,,,,
Main,Q41,image93.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,R41,image93.png,40bb,UTG,UTG,jam,40bb_utg_vs_utg_Main_R41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,Q42,image94.png,40bb,UTG,UTG,rfi,40bb_utg_vs_utg_Main_Q42.png,UTG;HJ;CO;BTN;SB;BB,,,,
